Year,Month,Value
1999,January,1616126
1999,February,1612425
1999,March,1967782
1999,April,1844901
1999,May,2073646
1999,June,2127093
1999,July,2569450
1999,August,2421931
1999,September,2301968
1999,October,2232404
1999,November,1912198
1999,December,1786263
2000,January,1694560
2000,February,1793649
2000,March,2056928
2000,April,2281387
2000,May,2178919
2000,June,2226706
2000,July,2642601
2000,August,2469292
2000,September,2363220
2000,October,2246000
2000,November,1931516
2000,December,2089923
2001,January,1796035
2001,February,1753466
2001,March,1990610
2001,April,2090451
2001,May,2018620
2001,June,2094967
2001,July,2461104
2001,August,2483466
2001,September,1430917
2001,October,1210784
2001,November,1118797
2001,December,1383651
2002,January,1197397
2002,February,1272122
2002,March,1613865
2002,April,1466048
2002,May,1631214
2002,June,1629764
2002,July,1886541
2002,August,1924890
2002,September,1710522
2002,October,1670836
2002,November,1466220
2002,December,1647288
2003,January,1259378
2003,February,1239906
2003,March,1247049
2003,April,1268054
2003,May,1367854
2003,June,1414428
2003,July,1775897
2003,August,1831482
2003,September,1694798
2003,October,1684173
2003,November,1524376
2003,December,1718818
2004,January,1318071
2004,February,1378393
2004,March,1576072
2004,April,1690321
2004,May,1700588
2004,June,1756533
2004,July,2056954
2004,August,1969876
2004,September,1790264
2004,October,1745540
2004,November,1556348
2004,December,1783297
2005,January,1421543
2005,February,1447900
2005,March,1809585
2005,April,1724361
2005,May,1815562
2005,June,1893062
2005,July,2216786
2005,August,2045389
2005,September,1942971
2005,October,1870696
2005,November,1591261
2005,December,1899412
2006,January,1504459
2006,February,1376271
2006,March,1639161
2006,April,1895999
2006,May,1752524
2006,June,1807400
2006,July,2188146
2006,August,2072655
2006,September,1915993
2006,October,1900634
2006,November,1687972
2006,December,1927076
2007,January,1530596
2007,February,1498808
2007,March,1864009
2007,April,1895069
2007,May,1943625
2007,June,2021723
2007,July,2403643
2007,August,2402926
2007,September,2127059
2007,October,2160422
2007,November,1864426
2007,December,2179971
2008,January,1667306
2008,February,1663065
2008,March,2054590
2008,April,2043120
2008,May,2212729
2008,June,2202405
2008,July,2636697
2008,August,2601265
2008,September,2224572
2008,October,2173125
2008,November,1757800
2008,December,2104777
2009,January,1539857
2009,February,1477601
2009,March,1670120
2009,April,2053246
2009,May,1911411
2009,June,1965630
2009,July,2446500
2009,August,2438329
2009,September,2139208
2009,October,2201623
2009,November,1738986
2009,December,2173673
2010,January,1667830
2010,February,1620897
2010,March,2033811
2010,April,1914155
2010,May,2232171
2010,June,2300022
2010,July,2819980
2010,August,2690559
2010,September,2431989
2010,October,2455718
2010,November,1927225
2010,December,2268259
2011,January,1821897
2011,February,1675937
2011,March,1913916
2011,April,2367951
2011,May,2282842
2011,June,2465001
2011,July,2971634
2011,August,2882766
2011,September,2580758
2011,October,2558899
2011,November,2021408
2011,December,2340148
2012,January,1945853
2012,February,1821812
2012,March,2278599
2012,April,2380707
2012,May,2473500
2012,June,2620500
2012,July,3056930
2012,August,3089122
2012,September,2761914
2012,October,2595350
2012,November,2171127
2012,December,2565624
2013,January,2073430
2013,February,1959241
2013,March,2549854
2013,April,2427711
2013,May,2723745
2013,June,2831315
2013,July,3244684
2013,August,3376837
2013,September,2888965
2013,October,2837222
2013,November,2332842
2013,December,2794796
2014,January,2386130
2014,February,2053750
2014,March,2472663
2014,April,2999319
2014,May,2999313
2014,June,3005146
2014,July,3577316
2014,August,3712864
2014,September,3155578
2014,October,3095622
2014,November,2512191
2014,December,2968315
2015,January,2456329
2015,February,2272927
2015,March,2816976
2015,April,3042343
2015,May,3455461
2015,June,3298717
2015,July,4075384
2015,August,3952559
2015,September,3551833
2015,October,3500510
2015,November,2822990
2015,December,3145903
2016,January,2645349
2016,February,2405849
2016,March,2897042
2016,April,2895487
2016,May,3213869
2016,June,3293795
2016,July,3931057
2016,August,3836721
